klub;subor s logom;kod statu;stat
"Arsenal";"arsenal_logo.png";"ENG";"England"
"Aston Villa";"aston_villa_logo.png";"ENG";"England"
"Atleti";"atleti_logo.png";"ESP";"Spain"
"B. Dortmund";"b_dortmund_logo.png";"GER";"Germany"
"Barcelona";"barcelona_logo.png";"ESP";"Spain"
"Bayern München";"bayern_mnchen_logo.png";"GER";"Germany"
"Club Brugge";"club_brugge_logo.png";"BEL";"Belgium"
"Como";"como_logo.png";"ITA";"Italy"
"Feyenoord";"feyenoord_logo.png";"NED";"Netherlands"
"Galatasaray";"galatasaray_logo.png";"TUR";"Turkey"
"Inter";"inter_logo.png";"ITA";"Italy"
"Leipzig";"leipzig_logo.png";"GER";"Germany"
"Lens";"lens_logo.png";"FRA";"France"
"Lille";"lille_logo.png";"FRA";"France"
"Liverpool";"liverpool_logo.png";"ENG";"England"
"Man City";"man_city_logo.png";"ENG";"England"
"Man Utd";"man_utd_logo.png";"ENG";"England"
"Napoli";"napoli_logo.png";"ITA";"Italy"
"Paris";"paris_logo.png";"FRA";"France"
"Porto";"porto_logo.png";"POR";"Portugal"
"PSV";"psv_logo.png";"NED";"Netherlands"
"Real Betis";"real_betis_logo.png";"ESP";"Spain"
"Real Madrid";"real_madrid_logo.png";"ESP";"Spain"
"Roma";"roma_logo.png";"ITA";"Italy"
"Shakhtar";"shakhtar_logo.png";"UKR";"Ukraine"
"Slavia Praha";"slavia_praha_logo.png";"CZE";"Czechia"
"Sporting CP";"sporting_cp_logo.png";"POR";"Portugal"
"Stuttgart";"stuttgart_logo.png";"GER";"Germany"
"Villarreal";"villarreal_logo.png";"ESP";"Spain"
"AEK Athens";"aek_athens_logo.png";"GRE";"Greece"
"Celtic";"celtic_logo.png";"SCO";"Scotland"
"LASK";"lask_logo.png";"AUT";"Austria"
"Viking";"viking_logo.png";"NOR";"Norway"
"Bodø/Glimt";"bodglimt_logo.png";"NOR";"Norway"
"Lyon";"lyon_logo.png";"FRA";"France"
"N.E.C.";"nec_logo.png";"NED";"Netherlands"
"Olympiacos";"olympiacos_logo.png";"GRE";"Greece"
"Sparta Praha";"sparta_praha_logo.png";"CZE";"Czechia"
"Union SG";"union_sg_logo.png";"BEL";"Belgium"
"Aarhus";"aarhus_logo.png";"DEN";"Denmark"
"Ararat-Armenia";"ararat_armenia_logo.png";"ARM";"ARM"
"Celje";"celje_logo.png";"SVN";"SVN"
"Crvena Zvezda";"crvena_zvezda_logo.png";"SRB";"Serbia"
"Egnatia";"egnatia_logo.png";"ALB";"ALB"
"Fenerbahçe";"fenerbahe_logo.png";"TUR";"Turkey"
"GNK Dinamo";"gnk_dinamo_logo.png";"CRO";"Croatia"
"Górnik Zabrze";"grnik_zabrze_logo.png";"POL";"Poland"
"H. Beer-Sheva";"h_beer_sheva_logo.png";"ISR";"Israel"
"Hearts";"hearts_logo.png";"SCO";"Scotland"
"Iberia Tbilisi";"iberia_tbilisi_logo.png";"GEO";"GEO"
"Kairat Almaty";"kairat_almaty_logo.png";"KAZ";"Kazakhstan"
"Kauno Žalgiris";"kauno_algiris_logo.png";"LTU";"LTU"
"Klaksvík";"klaksvk_logo.png";"FRO";"FRO"
"KuPS Kuopio";"kups_kuopio_logo.png";"FIN";"Finland"
"L. Red Imps";"l_red_imps_logo.png";"GIB";"GIB"
"Larne";"larne_logo.png";"NIR";"NIR"
"Lech Poznań";"lech_pozna_logo.png";"POL";"Poland"
"Levski Sofia";"levski_sofia_logo.png";"BUL";"Bulgaria"
"Mjällby";"mjllby_logo.png";"SWE";"Sweden"
"Omonia";"omonia_logo.png";"CYP";"Cyprus"
"S. Bratislava";"s_bratislava_logo.png";"SVK";"Slovakia"
"Sabah";"sabah_logo.png";"AZE";"Azerbaijan"
"Shamrock Rovers";"shamrock_rovers_logo.png";"IRL";"IRL"
"Sturm Graz";"sturm_graz_logo.png";"AUT";"Austria"
"Thun";"thun_logo.png";"SUI";"Switzerland"
"U. Craiova";"u_craiova_logo.png";"ROU";"Romania"
"Víkingur R.";"vkingur_r_logo.png";"ISL";"ISL"
"Atert Bissen";"atert_bissen_logo.png";"LUX";"LUX"
"Borac";"borac_logo.png";"BIH";"BIH"
"Drita";"drita_logo.png";"KOS";"KOS"
"Flora Tallinn";"flora_tallinn_logo.png";"EST";"EST"
"Floriana";"floriana_logo.png";"MLT";"MLT"
"Győri ETO";"gyri_eto_logo.png";"HUN";"Hungary"
"Inter Escaldes";"inter_escaldes_logo.png";"AND";"AND"
"ML Vitebsk";"ml_vitebsk_logo.png";"BLR";"BLR"
"Petrocub";"petrocub_logo.png";"MDA";"Moldova"
"Riga";"riga_logo.png";"LVA";"LVA"
"Sutjeska";"sutjeska_logo.png";"MNE";"MNE"
"The New Saints";"the_new_saints_logo.png";"WAL";"Wales"
"Tre Fiori";"tre_fiori_logo.png";"SMR";"SMR"
"Vardar";"vardar_logo.png";"MKD";"MKD"
